2025/12/10 00:04:23.076 Cnt: 00000259	State: 04	Flags: 0x04130080	Pos: 2.439e+00	Vel: 3.560e+02	Iq: 4.803e+00	DcV: 2.001e+01	DcI: 1.576e+00	DcP:-2.759e+01	ExV: 2.474e+01	ExI: 3.626e-01	ExP: 8.948e+00	WoV: 1.176e+01	WoI: 3.230e-01	WoP: 3.797e+00	Tm:-2.307e+02	Tr: 2.812e+02
2025/12/10 00:04:33.139 Cnt: 00000269	State: 04	Flags: 0x04130080	Pos: 1.859e+00	Vel: 1.381e+02	Iq: 1.958e+00	DcV: 2.027e+01	DcI: 2.222e-01	DcP:-3.019e+00	ExV: 2.474e+01	ExI: 3.479e-01	ExP: 8.579e+00	WoV: 1.176e+01	WoI: 3.221e-01	WoP: 3.786e+00	Tm:-2.955e+02	Tr: 2.960e+02
2025/12/10 00:04:43.195 Cnt: 00000279	State: 04	Flags: 0x04130080	Pos: 1.053e+00	Vel: 2.308e+02	Iq: 3.123e+00	DcV: 2.037e+01	DcI: 6.581e-01	DcP:-9.882e+00	ExV: 2.472e+01	ExI: 3.308e-01	ExP: 8.141e+00	WoV: 1.175e+01	WoI: 3.216e-01	WoP: 3.780e+00	Tm:-3.609e+02	Tr: 3.649e+02
2025/12/10 00:04:53.244 Cnt: 00000289	State: 04	Flags: 0x04030080	Pos: 3.985e+00	Vel: 1.538e+01	Iq: 3.299e+01	DcV: 2.037e+01	DcI: 6.768e-03	DcP: 1.377e-01	ExV: 2.472e+01	ExI: 3.431e-01	ExP: 8.467e+00	WoV: 1.176e+01	WoI: 3.245e-01	WoP: 3.813e+00	Tm:-5.021e+01	Tr: 5.022e+01
2025/12/10 00:05:03.306 Cnt: 00000299	State: 04	Flags: 0x04130080	Pos: 2.732e+00	Vel: 2.033e+02	Iq: 2.789e+00	DcV: 2.051e+01	DcI: 3.961e-01	DcP:-7.777e+00	ExV: 2.472e+01	ExI: 3.530e-01	ExP: 8.712e+00	WoV: 1.176e+01	WoI: 3.203e-01	WoP: 3.766e+00	Tm:-2.388e+02	Tr: 2.517e+02
2025/12/10 00:05:13.364 Cnt: 00000309	State: 04	Flags: 0x04130080	Pos: 2.540e+00	Vel: 2.077e+02	Iq: 2.869e+00	DcV: 2.061e+01	DcI: 5.559e-01	DcP:-7.905e+00	ExV: 2.470e+01	ExI: 3.253e-01	ExP: 8.008e+00	WoV: 1.176e+01	WoI: 3.194e-01	WoP: 3.755e+00	Tm:-2.515e+02	Tr: 2.587e+02
2025/12/10 00:05:23.422 Cnt: 00000319	State: 04	Flags: 0x04130080	Pos: 3.189e+00	Vel: 1.992e+02	Iq: 2.810e+01	DcV: 2.091e+01	DcI: 9.914e-02	DcP:-1.028e+00	ExV: 2.470e+01	ExI: 3.164e-01	ExP: 7.788e+00	WoV: 1.176e+01	WoI: 3.196e-01	WoP: 3.757e+00	Tm:-1.323e+02	Tr: 1.656e+02
2025/12/10 00:05:33.479 Cnt: 00000329	State: 04	Flags: 0x04130080	Pos: 4.126e+00	Vel: 8.261e+01	Iq: 9.721e-01	DcV: 2.099e+01	DcI: 5.492e-02	DcP:-3.919e-01	ExV: 2.470e+01	ExI: 3.380e-01	ExP: 8.309e+00	WoV: 1.176e+01	WoI: 3.225e-01	WoP: 3.790e+00	Tm:-8.286e+01	Tr: 9.888e+01
2025/12/10 00:05:43.544 Cnt: 00000339	State: 04	Flags: 0x04130080	Pos: 3.690e+00	Vel: 6.251e+01	Iq: 8.979e-01	DcV: 2.110e+01	DcI: 3.179e-02	DcP: 5.304e-02	ExV: 2.470e+01	ExI: 3.370e-01	ExP: 8.301e+00	WoV: 1.176e+01	WoI: 3.186e-01	WoP: 3.745e+00	Tm:-1.374e+02	Tr: 1.396e+02
2025/12/10 00:05:53.601 Cnt: 00000349	State: 04	Flags: 0x04130080	Pos: 1.887e+00	Vel: 1.753e+02	Iq: 2.401e+00	DcV: 2.131e+01	DcI: 3.467e-01	DcP:-5.187e+00	ExV: 2.474e+01	ExI: 3.457e-01	ExP: 8.522e+00	WoV: 1.176e+01	WoI: 3.226e-01	WoP: 3.791e+00	Tm:-3.027e+02	Tr: 3.066e+02
