2025/12/09 00:05:23.783 Cnt: 00000319	State: 04	Flags: 0x04130080	Pos: 7.320e-01	Vel: 9.810e+01	Iq: 1.582e+00	DcV: 2.640e+01	DcI: 9.882e-02	DcP:-1.337e+00	ExV: 2.644e+01	ExI: 3.693e-01	ExP: 9.732e+00	WoV: 1.177e+01	WoI: 3.236e-01	WoP: 3.805e+00	Tm:-3.150e+02	Tr: 3.175e+02
2025/12/09 00:05:33.843 Cnt: 00000329	State: 04	Flags: 0x04130080	Pos: 3.901e-02	Vel: 8.873e+01	Iq: 1.413e+00	DcV: 2.653e+01	DcI: 7.431e-02	DcP:-8.489e-01	ExV: 2.663e+01	ExI: 4.270e-01	ExP: 1.135e+01	WoV: 1.177e+01	WoI: 3.232e-01	WoP: 3.802e+00	Tm:-3.619e+02	Tr: 3.626e+02
2025/12/09 00:05:43.904 Cnt: 00000339	State: 04	Flags: 0x04130080	Pos:-1.251e+00	Vel: 2.954e+02	Iq: 4.743e+00	DcV: 2.687e+01	DcI: 1.052e+00	DcP:-2.202e+01	ExV: 2.667e+01	ExI: 3.946e-01	ExP: 1.051e+01	WoV: 1.176e+01	WoI: 3.248e-01	WoP: 3.818e+00	Tm:-4.757e+02	Tr: 4.780e+02
2025/12/09 00:05:53.970 Cnt: 00000349	State: 04	Flags: 0x04130080	Pos: 1.677e+00	Vel: 1.721e+02	Iq: 2.200e+01	DcV: 2.685e+01	DcI: 5.854e-02	DcP:-6.110e-01	ExV: 2.666e+01	ExI: 3.811e-01	ExP: 1.013e+01	WoV: 1.177e+01	WoI: 3.227e-01	WoP: 3.796e+00	Tm:-1.909e+02	Tr: 1.948e+02
2025/12/09 00:06:04.029 Cnt: 00000359	State: 04	Flags: 0x04330100	Pos: 1.514e+00	Vel: 2.756e+02	Iq: 4.404e+00	DcV: 2.719e+01	DcI: 1.054e+00	DcP:-1.937e+01	ExV: 2.665e+01	ExI: 3.856e-01	ExP: 1.025e+01	WoV: 1.177e+01	WoI: 3.232e-01	WoP: 3.802e+00	Tm:-2.753e+02	Tr: 2.945e+02
2025/12/09 00:06:14.087 Cnt: 00000369	State: 04	Flags: 0x04330100	Pos: 2.424e+00	Vel: 2.257e+02	Iq: 3.559e+00	DcV: 2.750e+01	DcI: 5.751e-01	DcP:-1.215e+01	ExV: 2.667e+01	ExI: 3.586e-01	ExP: 9.543e+00	WoV: 1.177e+01	WoI: 3.235e-01	WoP: 3.805e+00	Tm:-1.929e+02	Tr: 2.263e+02
2025/12/09 00:06:24.144 Cnt: 00000379	State: 04	Flags: 0x04330100	Pos: 3.095e+00	Vel: 8.060e+01	Iq: 1.321e+00	DcV: 2.749e+01	DcI: 5.283e-02	DcP:-3.412e-01	ExV: 2.662e+01	ExI: 3.550e-01	ExP: 9.417e+00	WoV: 1.176e+01	WoI: 3.237e-01	WoP: 3.806e+00	Tm:-9.179e+01	Tr: 9.881e+01
2025/12/09 00:06:34.203 Cnt: 00000389	State: 04	Flags: 0x04330100	Pos: 5.559e-01	Vel: 2.286e+02	Iq: 3.715e+00	DcV: 2.771e+01	DcI: 5.969e-01	DcP:-1.246e+01	ExV: 2.667e+01	ExI: 3.790e-01	ExP: 1.005e+01	WoV: 1.177e+01	WoI: 3.206e-01	WoP: 3.771e+00	Tm:-3.437e+02	Tr: 3.564e+02
2025/12/09 00:06:44.257 Cnt: 00000399	State: 04	Flags: 0x04330100	Pos:-7.134e-01	Vel: 1.865e+02	Iq: 8.980e+00	DcV: 2.772e+01	DcI: 9.096e-02	DcP:-1.321e+00	ExV: 2.667e+01	ExI: 3.463e-01	ExP: 9.208e+00	WoV: 1.176e+01	WoI: 3.226e-01	WoP: 3.793e+00	Tm:-3.864e+02	Tr: 3.978e+02
2025/12/09 00:06:54.317 Cnt: 00000409	State: 04	Flags: 0x04330100	Pos:-1.777e+00	Vel: 2.036e+02	Iq: 3.288e+00	DcV: 2.806e+01	DcI: 4.985e-01	DcP:-9.786e+00	ExV: 2.668e+01	ExI: 3.377e-01	ExP: 8.952e+00	WoV: 1.176e+01	WoI: 3.212e-01	WoP: 3.776e+00	Tm:-5.054e+02	Tr: 5.063e+02
2025/12/09 00:07:04.373 Cnt: 00000419	State: 04	Flags: 0x04330100	Pos: 7.209e-02	Vel: 9.007e+01	Iq: 1.450e+00	DcV: 2.813e+01	DcI: 8.200e-02	DcP:-8.805e-01	ExV: 2.669e+01	ExI: 3.680e-01	ExP: 9.764e+00	WoV: 1.176e+01	WoI: 3.196e-01	WoP: 3.758e+00	Tm:-3.626e+02	Tr: 3.627e+02
2025/12/09 00:07:14.433 Cnt: 00000429	State: 04	Flags: 0x04330100	Pos: 3.447e-03	Vel: 1.567e+02	Iq: 2.491e+00	DcV: 2.820e+01	DcI: 3.166e-01	DcP:-4.396e+00	ExV: 2.669e+01	ExI: 3.802e-01	ExP: 1.009e+01	WoV: 1.177e+01	WoI: 3.185e-01	WoP: 3.746e+00	Tm:-3.811e+02	Tr: 3.816e+02
2025/12/09 00:07:24.489 Cnt: 00000439	State: 04	Flags: 0x04330100	Pos: 1.018e-01	Vel: 2.656e+02	Iq: 1.788e+00	DcV: 2.846e+01	DcI: 2.491e-01	DcP:-5.247e+00	ExV: 2.664e+01	ExI: 3.486e-01	ExP: 9.265e+00	WoV: 1.177e+01	WoI: 3.207e-01	WoP: 3.772e+00	Tm:-3.490e+02	Tr: 3.634e+02
2025/12/09 00:07:34.550 Cnt: 00000449	State: 04	Flags: 0x04330100	Pos: 1.426e+00	Vel: 6.963e+01	Iq: 1.112e+00	DcV: 2.856e+01	DcI: 6.065e-02	DcP:-1.947e-01	ExV: 2.653e+01	ExI: 3.715e-01	ExP: 9.838e+00	WoV: 1.177e+01	WoI: 3.227e-01	WoP: 3.795e+00	Tm:-2.562e+02	Tr: 2.571e+02
2025/12/09 00:07:44.608 Cnt: 00000459	State: 04	Flags: 0x04330100	Pos:-5.710e-01	Vel: 1.640e+02	Iq: 2.691e+00	DcV: 2.863e+01	DcI: 2.582e-01	DcP:-5.655e+00	ExV: 2.668e+01	ExI: 3.772e-01	ExP: 1.004e+01	WoV: 1.176e+01	WoI: 3.222e-01	WoP: 3.789e+00	Tm:-4.324e+02	Tr: 4.328e+02
2025/12/09 00:07:54.661 Cnt: 00000469	State: 04	Flags: 0x04330100	Pos:-4.571e-01	Vel: 1.862e+02	Iq: 3.028e+00	DcV: 2.869e+01	DcI: 3.101e-01	DcP:-7.706e+00	ExV: 2.667e+01	ExI: 3.667e-01	ExP: 9.752e+00	WoV: 1.176e+01	WoI: 3.198e-01	WoP: 3.760e+00	Tm:-4.231e+02	Tr: 4.294e+02
2025/12/09 00:08:04.716 Cnt: 00000479	State: 04	Flags: 0x04330100	Pos: 1.602e+00	Vel: 1.313e+02	Iq: 1.333e+00	DcV: 2.875e+01	DcI: 6.231e-02	DcP:-1.099e+00	ExV: 2.669e+01	ExI: 3.832e-01	ExP: 1.019e+01	WoV: 1.176e+01	WoI: 3.174e-01	WoP: 3.733e+00	Tm:-2.459e+02	Tr: 2.476e+02
2025/12/09 00:08:14.775 Cnt: 00000489	State: 04	Flags: 0x04330100	Pos: 7.730e-01	Vel: 3.322e+02	Iq: 5.375e+00	DcV: 2.826e+01	DcI: 1.056e+00	DcP:-2.687e+01	ExV: 2.659e+01	ExI: 3.663e-01	ExP: 9.712e+00	WoV: 1.177e+01	WoI: 3.214e-01	WoP: 3.782e+00	Tm:-3.219e+02	Tr: 3.490e+02
2025/12/09 00:08:24.836 Cnt: 00000499	State: 04	Flags: 0x04330100	Pos: 2.461e+00	Vel: 1.672e+02	Iq: 2.681e+00	DcV: 2.633e+01	DcI: 2.985e-01	DcP:-5.553e+00	ExV: 2.665e+01	ExI: 3.526e-01	ExP: 9.332e+00	WoV: 1.176e+01	WoI: 3.157e-01	WoP: 3.714e+00	Tm:-1.780e+02	Tr: 1.858e+02
2025/12/09 00:08:34.898 Cnt: 00000509	State: 04	Flags: 0x04330100	Pos: 2.704e+00	Vel: 1.608e+02	Iq: 2.695e+00	DcV: 2.576e+01	DcI: 2.828e-01	DcP:-5.672e+00	ExV: 2.664e+01	ExI: 3.755e-01	ExP: 9.983e+00	WoV: 1.177e+01	WoI: 3.189e-01	WoP: 3.752e+00	Tm:-1.529e+02	Tr: 1.618e+02
