2025/11/04 00:04:21.763 Cnt: 00000259	State: 04	Flags: 0x04330100	Pos: 1.005e+00	Vel: 4.008e+02	Iq: 5.242e+00	DcV: 2.808e+01	DcI: 1.709e+00	DcP:-3.442e+01	ExV: 2.650e+01	ExI: 3.171e-01	ExP: 8.239e+00	WoV: 1.176e+01	WoI: 3.186e-01	WoP: 3.747e+00	Tm:-3.789e+02	Tr: 3.962e+02
2025/11/04 00:04:31.842 Cnt: 00000269	State: 04	Flags: 0x04330100	Pos: 1.110e+00	Vel: 4.788e+02	Iq: 6.336e+00	DcV: 2.829e+01	DcI: 2.125e+00	DcP:-4.832e+01	ExV: 2.650e+01	ExI: 6.202e-01	ExP: 1.584e+01	WoV: 1.176e+01	WoI: 3.211e-01	WoP: 3.777e+00	Tm:-3.549e+02	Tr: 4.006e+02
2025/11/04 00:04:41.861 Cnt: 00000279	State: 04	Flags: 0x04330100	Pos: 1.437e-01	Vel: 5.006e+02	Iq: 6.504e+00	DcV: 2.781e+01	DcI: 2.494e+00	DcP:-5.429e+01	ExV: 2.650e+01	ExI: 2.826e-01	ExP: 7.462e+00	WoV: 1.177e+01	WoI: 3.253e-01	WoP: 3.827e+00	Tm:-4.443e+02	Tr: 4.644e+02
2025/11/04 00:04:51.934 Cnt: 00000289	State: 04	Flags: 0x04330100	Pos: 3.959e+00	Vel: 2.897e+02	Iq: 3.891e+00	DcV: 2.582e+01	DcI: 8.283e-01	DcP:-1.575e+01	ExV: 2.649e+01	ExI: 7.886e-01	ExP: 2.085e+01	WoV: 1.176e+01	WoI: 3.195e-01	WoP: 3.757e+00	Tm:-9.463e+01	Tr: 1.722e+02
2025/11/04 00:05:01.959 Cnt: 00000299	State: 04	Flags: 0x04330100	Pos:-9.747e-01	Vel: 2.539e+02	Iq: 3.363e+00	DcV: 2.578e+01	DcI: 5.857e-01	DcP:-1.239e+01	ExV: 2.650e+01	ExI: 7.909e-01	ExP: 2.089e+01	WoV: 1.176e+01	WoI: 3.187e-01	WoP: 3.748e+00	Tm:-5.167e+02	Tr: 5.183e+02
2025/11/04 00:05:12.007 Cnt: 00000309	State: 04	Flags: 0x04330100	Pos: 1.446e+00	Vel: 1.601e+02	Iq: 2.152e+00	DcV: 2.574e+01	DcI: 1.915e-01	DcP:-4.421e+00	ExV: 2.647e+01	ExI: 3.568e-01	ExP: 9.345e+00	WoV: 1.177e+01	WoI: 3.233e-01	WoP: 3.803e+00	Tm:-3.367e+02	Tr: 3.423e+02
2025/11/04 00:05:22.059 Cnt: 00000319	State: 04	Flags: 0x04330100	Pos:-3.868e-01	Vel: 3.036e+02	Iq: 3.907e+00	DcV: 2.610e+01	DcI: 7.907e-01	DcP:-1.809e+01	ExV: 2.649e+01	ExI: 2.606e-01	ExP: 6.875e+00	WoV: 1.176e+01	WoI: 3.204e-01	WoP: 3.768e+00	Tm:-4.835e+02	Tr: 4.918e+02
2025/11/04 00:05:32.110 Cnt: 00000329	State: 04	Flags: 0x04330100	Pos: 6.280e+00	Vel: 2.297e+02	Iq: 2.960e+00	DcV: 2.622e+01	DcI: 5.925e-01	DcP:-1.068e+01	ExV: 2.648e+01	ExI: 5.229e-01	ExP: 1.357e+01	WoV: 1.176e+01	WoI: 3.206e-01	WoP: 3.770e+00	Tm: 8.347e+01	Tr: 1.349e+02
2025/11/04 00:05:42.163 Cnt: 00000339	State: 04	Flags: 0x04330100	Pos: 2.311e+00	Vel: 2.704e+02	Iq: 3.590e+00	DcV: 2.645e+01	DcI: 6.796e-01	DcP:-1.352e+01	ExV: 2.648e+01	ExI: 4.216e-01	ExP: 1.073e+01	WoV: 1.176e+01	WoI: 3.243e-01	WoP: 3.812e+00	Tm:-2.649e+02	Tr: 2.884e+02
2025/11/04 00:05:52.212 Cnt: 00000349	State: 04	Flags: 0x04330100	Pos:-8.688e-01	Vel: 2.044e+02	Iq: 2.707e+00	DcV: 2.661e+01	DcI: 3.021e-01	DcP:-7.101e+00	ExV: 2.649e+01	ExI: 3.091e-01	ExP: 8.152e+00	WoV: 1.177e+01	WoI: 3.261e-01	WoP: 3.836e+00	Tm:-5.046e+02	Tr: 5.080e+02
2025/11/04 00:06:02.223 Cnt: 00000359	State: 04	Flags: 0x04330100	Pos:-1.996e-01	Vel: 2.669e+02	Iq: 3.495e+00	DcV: 2.684e+01	DcI: 6.291e-01	DcP:-1.390e+01	ExV: 2.654e+01	ExI: 2.869e-01	ExP: 7.584e+00	WoV: 1.174e+01	WoI: 3.478e-01	WoP: 4.082e+00	Tm:-4.631e+02	Tr: 4.644e+02
2025/11/04 00:06:12.248 Cnt: 00000369	State: 04	Flags: 0x04330100	Pos: 3.900e+00	Vel: 3.052e+02	Iq: 4.057e+00	DcV: 2.702e+01	DcI: 7.956e-01	DcP:-1.851e+01	ExV: 2.650e+01	ExI: 3.582e-01	ExP: 8.870e+00	WoV: 1.177e+01	WoI: 3.238e-01	WoP: 3.809e+00	Tm:-1.438e+02	Tr: 2.180e+02
2025/11/04 00:06:22.299 Cnt: 00000379	State: 04	Flags: 0x04330100	Pos: 3.728e+00	Vel: 2.603e+02	Iq: 3.433e+00	DcV: 2.715e+01	DcI: 5.363e-01	DcP:-1.235e+01	ExV: 2.652e+01	ExI: 2.717e-01	ExP: 7.159e+00	WoV: 1.176e+01	WoI: 3.200e-01	WoP: 3.764e+00	Tm:-1.267e+02	Tr: 1.896e+02
2025/11/04 00:06:32.341 Cnt: 00000389	State: 04	Flags: 0x04330100	Pos: 3.845e+00	Vel: 1.256e+02	Iq: 1.654e+00	DcV: 2.721e+01	DcI: 1.338e-01	DcP:-2.344e+00	ExV: 2.650e+01	ExI: 2.863e-01	ExP: 7.560e+00	WoV: 1.177e+01	WoI: 3.205e-01	WoP: 3.770e+00	Tm:-1.118e+02	Tr: 1.309e+02
2025/11/04 00:06:42.389 Cnt: 00000399	State: 04	Flags: 0x04330100	Pos: 3.098e+00	Vel: 3.013e+02	Iq: 3.978e+00	DcV: 2.731e+01	DcI: 7.567e-01	DcP:-1.768e+01	ExV: 2.652e+01	ExI: 2.683e-01	ExP: 7.089e+00	WoV: 1.176e+01	WoI: 3.241e-01	WoP: 3.812e+00	Tm:-2.170e+02	Tr: 2.672e+02
2025/11/04 00:06:52.439 Cnt: 00000409	State: 04	Flags: 0x04330100	Pos: 5.390e+00	Vel: 3.112e+02	Iq: 1.750e+01	DcV: 2.716e+01	DcI: 4.142e-01	DcP:-7.332e+00	ExV: 2.648e+01	ExI: 4.404e-01	ExP: 1.077e+01	WoV: 1.176e+01	WoI: 3.210e-01	WoP: 3.775e+00	Tm: 4.921e+01	Tr: 1.081e+02
2025/11/04 00:07:02.491 Cnt: 00000419	State: 04	Flags: 0x04330100	Pos: 6.809e-01	Vel: 4.176e+02	Iq: 5.498e+00	DcV: 2.795e+01	DcI: 1.440e+00	DcP:-3.556e+01	ExV: 2.656e+01	ExI: 3.073e-01	ExP: 8.110e+00	WoV: 1.176e+01	WoI: 3.214e-01	WoP: 3.780e+00	Tm:-4.457e+02	Tr: 4.667e+02
2025/11/04 00:07:12.540 Cnt: 00000429	State: 04	Flags: 0x04330100	Pos: 3.870e+00	Vel: 1.021e+02	Iq: 1.274e+00	DcV: 2.809e+01	DcI: 8.661e-02	DcP:-1.150e+00	ExV: 2.647e+01	ExI: 3.042e-01	ExP: 8.005e+00	WoV: 1.177e+01	WoI: 3.189e-01	WoP: 3.752e+00	Tm:-1.151e+02	Tr: 1.223e+02
2025/11/04 00:07:22.592 Cnt: 00000439	State: 04	Flags: 0x04330100	Pos: 2.747e+00	Vel: 7.332e+01	Iq: 9.416e-01	DcV: 2.813e+01	DcI: 5.880e-02	DcP: 1.537e-01	ExV: 2.657e+01	ExI: 2.973e-01	ExP: 7.853e+00	WoV: 1.176e+01	WoI: 3.211e-01	WoP: 3.777e+00	Tm:-2.242e+02	Tr: 2.256e+02
2025/11/04 00:07:32.640 Cnt: 00000449	State: 04	Flags: 0x04330100	Pos: 1.953e-01	Vel: 3.003e+02	Iq: 3.981e+00	DcV: 2.826e+01	DcI: 7.743e-01	DcP:-1.790e+01	ExV: 2.654e+01	ExI: 2.799e-01	ExP: 7.361e+00	WoV: 1.176e+01	WoI: 3.205e-01	WoP: 3.769e+00	Tm:-4.356e+02	Tr: 4.458e+02
2025/11/04 00:07:42.692 Cnt: 00000459	State: 04	Flags: 0x04330100	Pos: 6.021e+00	Vel: 1.150e+02	Iq: 1.483e+00	DcV: 2.850e+01	DcI: 1.538e-01	DcP:-1.525e+00	ExV: 2.659e+01	ExI: 3.118e-01	ExP: 8.238e+00	WoV: 1.177e+01	WoI: 3.201e-01	WoP: 3.765e+00	Tm: 1.018e+02	Tr: 1.146e+02
2025/11/04 00:07:52.741 Cnt: 00000469	State: 04	Flags: 0x04330100	Pos: 2.128e+00	Vel: 1.294e+02	Iq: 1.743e+00	DcV: 2.857e+01	DcI: 1.042e-01	DcP:-2.142e+00	ExV: 2.653e+01	ExI: 3.223e-01	ExP: 8.524e+00	WoV: 1.176e+01	WoI: 3.212e-01	WoP: 3.778e+00	Tm:-2.853e+02	Tr: 2.878e+02
2025/11/04 00:08:02.792 Cnt: 00000479	State: 04	Flags: 0x44330000	Pos: 1.432e-01	Vel: 4.910e+02	Iq: 6.473e+00	DcV: 2.884e+01	DcI: 2.017e+00	DcP:-5.010e+01	ExV: 2.653e+01	ExI: 1.480e+00	ExP: 3.926e+01	WoV: 1.176e+01	WoI: 3.236e-01	WoP: 3.805e+00	Tm:-4.299e+02	Tr: 4.617e+02
2025/11/04 00:08:12.843 Cnt: 00000489	State: 04	Flags: 0x04330000	Pos: 3.564e+00	Vel: 4.655e+02	Iq: 6.048e+00	DcV: 2.676e+01	DcI: 2.013e+00	DcP:-4.581e+01	ExV: 2.655e+01	ExI: 1.148e+00	ExP: 3.032e+01	WoV: 1.176e+01	WoI: 3.229e-01	WoP: 3.798e+00	Tm:-1.678e+02	Tr: 2.291e+02
2025/11/04 00:08:22.894 Cnt: 00000499	State: 04	Flags: 0x04330100	Pos:-3.660e-01	Vel: 2.115e+02	Iq: 2.805e+00	DcV: 2.577e+01	DcI: 3.820e-01	DcP:-8.071e+00	ExV: 2.649e+01	ExI: 2.933e-01	ExP: 7.733e+00	WoV: 1.176e+01	WoI: 3.209e-01	WoP: 3.774e+00	Tm:-4.620e+02	Tr: 4.640e+02
2025/11/04 00:08:32.946 Cnt: 00000509	State: 04	Flags: 0x04330100	Pos: 1.926e+00	Vel: 2.597e+02	Iq: 3.446e+00	DcV: 2.605e+01	DcI: 5.135e-01	DcP:-1.279e+01	ExV: 2.656e+01	ExI: 2.888e-01	ExP: 7.611e+00	WoV: 1.176e+01	WoI: 3.195e-01	WoP: 3.757e+00	Tm:-3.006e+02	Tr: 3.205e+02
2025/11/04 00:08:42.997 Cnt: 00000519	State: 04	Flags: 0x04330100	Pos: 1.481e+00	Vel: 2.050e+02	Iq: 2.646e+00	DcV: 2.621e+01	DcI: 3.721e-01	DcP:-7.908e+00	ExV: 2.649e+01	ExI: 7.651e-01	ExP: 2.025e+01	WoV: 1.177e+01	WoI: 3.173e-01	WoP: 3.733e+00	Tm:-3.309e+02	Tr: 3.380e+02
2025/11/04 00:08:53.044 Cnt: 00000529	State: 04	Flags: 0x04330100	Pos: 3.324e+00	Vel: 3.414e+02	Iq: 4.458e+00	DcV: 2.597e+01	DcI: 9.547e-01	DcP:-2.323e+01	ExV: 2.647e+01	ExI: 3.275e-01	ExP: 8.584e+00	WoV: 1.176e+01	WoI: 3.200e-01	WoP: 3.763e+00	Tm:-2.018e+02	Tr: 2.500e+02
2025/11/04 00:09:03.097 Cnt: 00000539	State: 04	Flags: 0x04330100	Pos: 9.625e-01	Vel: 2.716e+02	Iq: 3.538e+00	DcV: 2.648e+01	DcI: 5.736e-01	DcP:-1.436e+01	ExV: 2.657e+01	ExI: 2.776e-01	ExP: 7.342e+00	WoV: 1.176e+01	WoI: 3.206e-01	WoP: 3.771e+00	Tm:-3.979e+02	Tr: 4.086e+02
