2025/11/21 00:04:43.982 Cnt: 00000279	State: 04	Flags: 0x04130080	Pos:-3.274e+00	Vel: 3.107e+02	Iq: 4.063e+00	DcV: 1.563e+01	DcI: 1.543e+00	DcP:-1.881e+01	ExV: 2.550e+01	ExI: 3.255e-01	ExP: 8.285e+00	WoV: 1.176e+01	WoI: 3.165e-01	WoP: 3.721e+00	Tm:-3.299e+02	Tr: 3.417e+02
2025/11/21 00:04:54.042 Cnt: 00000289	State: 04	Flags: 0x04130080	Pos:-1.553e+00	Vel: 1.550e+02	Iq: 2.106e+00	DcV: 1.601e+01	DcI: 2.892e-01	DcP:-3.972e+00	ExV: 2.550e+01	ExI: 3.422e-01	ExP: 8.699e+00	WoV: 1.176e+01	WoI: 3.214e-01	WoP: 3.780e+00	Tm:-1.911e+02	Tr: 1.989e+02
2025/11/21 00:05:04.104 Cnt: 00000299	State: 04	Flags: 0x04130080	Pos: 3.009e+00	Vel: 2.175e+02	Iq: 2.815e+00	DcV: 1.651e+01	DcI: 7.140e-01	DcP:-9.128e+00	ExV: 2.550e+01	ExI: 3.440e-01	ExP: 8.744e+00	WoV: 1.176e+01	WoI: 3.192e-01	WoP: 3.753e+00	Tm: 2.382e+02	Tr: 2.439e+02
2025/11/21 00:05:14.167 Cnt: 00000309	State: 04	Flags: 0x04130080	Pos:-3.636e-01	Vel: 3.481e+02	Iq: 4.626e+00	DcV: 1.738e+01	DcI: 1.664e+00	DcP:-2.461e+01	ExV: 2.552e+01	ExI: 3.267e-01	ExP: 8.314e+00	WoV: 1.176e+01	WoI: 3.192e-01	WoP: 3.754e+00	Tm:-5.612e+01	Tr: 1.782e+02
2025/11/21 00:05:24.229 Cnt: 00000319	State: 04	Flags: 0x04130080	Pos:-3.580e+00	Vel: 3.536e+02	Iq: 4.602e+00	DcV: 1.807e+01	DcI: 1.755e+00	DcP:-2.697e+01	ExV: 2.554e+01	ExI: 3.735e-01	ExP: 9.511e+00	WoV: 1.176e+01	WoI: 3.165e-01	WoP: 3.722e+00	Tm:-3.454e+02	Tr: 3.678e+02
2025/11/21 00:05:34.290 Cnt: 00000329	State: 04	Flags: 0x04130080	Pos:-3.389e-01	Vel: 2.410e+02	Iq: 3.172e+00	DcV: 1.818e+01	DcI: 7.658e-01	DcP:-1.179e+01	ExV: 2.552e+01	ExI: 3.516e-01	ExP: 8.951e+00	WoV: 1.176e+01	WoI: 3.171e-01	WoP: 3.728e+00	Tm:-9.103e+01	Tr: 1.595e+02
2025/11/21 00:05:44.348 Cnt: 00000339	State: 04	Flags: 0x04130080	Pos:-1.615e+00	Vel: 3.054e+02	Iq: 4.049e+00	DcV: 1.866e+01	DcI: 1.127e+00	DcP:-1.891e+01	ExV: 2.552e+01	ExI: 3.616e-01	ExP: 9.198e+00	WoV: 1.176e+01	WoI: 3.212e-01	WoP: 3.776e+00	Tm:-1.858e+02	Tr: 2.407e+02
2025/11/21 00:05:54.405 Cnt: 00000349	State: 04	Flags: 0x04030080	Pos:-1.463e+00	Vel: 2.910e+01	Iq: 3.051e+01	DcV: 1.897e+01	DcI: 6.707e-03	DcP: 1.271e-01	ExV: 2.552e+01	ExI: 3.600e-01	ExP: 9.152e+00	WoV: 1.176e+01	WoI: 3.178e-01	WoP: 3.736e+00	Tm:-1.359e+02	Tr: 1.362e+02
2025/11/21 00:06:04.466 Cnt: 00000359	State: 04	Flags: 0x04130080	Pos:-2.579e+00	Vel: 3.665e+02	Iq: 4.783e+00	DcV: 1.922e+01	DcI: 1.722e+00	DcP:-2.831e+01	ExV: 2.553e+01	ExI: 3.588e-01	ExP: 9.142e+00	WoV: 1.176e+01	WoI: 3.223e-01	WoP: 3.789e+00	Tm:-2.676e+02	Tr: 3.090e+02
2025/11/21 00:06:14.509 Cnt: 00000369	State: 04	Flags: 0x04030080	Pos:-3.725e-01	Vel: 1.696e+01	Iq: 3.343e+01	DcV: 1.941e+01	DcI: 6.886e-03	DcP: 1.335e-01	ExV: 2.552e+01	ExI: 3.508e-01	ExP: 8.930e+00	WoV: 1.176e+01	WoI: 3.209e-01	WoP: 3.773e+00	Tm:-3.793e+01	Tr: 3.848e+01
