2025/11/19 00:05:01.510 Cnt: 00000299	State: 04	Flags: 0x04030080	Pos: 2.277e+00	Vel: 5.035e+01	Iq: 2.039e+01	DcV: 1.474e+01	DcI: 3.349e-02	DcP: 1.340e-01	ExV: 2.526e+01	ExI: 3.083e-01	ExP: 7.759e+00	WoV: 1.176e+01	WoI: 3.203e-01	WoP: 3.765e+00	Tm:-2.212e+02	Tr: 2.223e+02
2025/11/19 00:05:11.564 Cnt: 00000309	State: 04	Flags: 0x04130080	Pos: 2.251e+00	Vel: 1.141e+02	Iq: 1.525e+00	DcV: 1.478e+01	DcI: 1.986e-01	DcP:-1.945e+00	ExV: 2.531e+01	ExI: 3.032e-01	ExP: 7.638e+00	WoV: 1.176e+01	WoI: 3.224e-01	WoP: 3.791e+00	Tm:-2.373e+02	Tr: 2.404e+02
2025/11/19 00:05:21.625 Cnt: 00000319	State: 04	Flags: 0x04130080	Pos: 3.727e+00	Vel: 2.339e+02	Iq: 3.100e+00	DcV: 1.536e+01	DcI: 7.777e-01	DcP:-1.078e+01	ExV: 2.528e+01	ExI: 3.186e-01	ExP: 8.023e+00	WoV: 1.176e+01	WoI: 3.222e-01	WoP: 3.788e+00	Tm:-1.226e+02	Tr: 1.739e+02
2025/11/19 00:05:31.679 Cnt: 00000329	State: 04	Flags: 0x04130080	Pos: 4.319e+00	Vel: 1.511e+02	Iq: 1.722e+00	DcV: 1.540e+01	DcI: 3.329e-01	DcP:-3.647e+00	ExV: 2.529e+01	ExI: 3.099e-01	ExP: 7.819e+00	WoV: 1.176e+01	WoI: 3.199e-01	WoP: 3.761e+00	Tm:-3.670e+01	Tr: 1.011e+02
2025/11/19 00:05:41.726 Cnt: 00000339	State: 04	Flags: 0x04030080	Pos: 3.482e+00	Vel: 6.082e+01	Iq: 3.587e+01	DcV: 1.542e+01	DcI: 6.883e-03	DcP: 1.061e-01	ExV: 2.529e+01	ExI: 3.251e-01	ExP: 8.194e+00	WoV: 1.176e+01	WoI: 3.174e-01	WoP: 3.732e+00	Tm:-1.052e+02	Tr: 1.057e+02
2025/11/19 00:05:51.790 Cnt: 00000349	State: 04	Flags: 0x04130080	Pos: 7.016e-01	Vel: 1.597e+02	Iq: 2.132e+00	DcV: 1.568e+01	DcI: 4.229e-01	DcP:-4.739e+00	ExV: 2.528e+01	ExI: 2.989e-01	ExP: 7.521e+00	WoV: 1.176e+01	WoI: 3.189e-01	WoP: 3.750e+00	Tm:-3.647e+02	Tr: 3.657e+02
2025/11/19 00:06:01.853 Cnt: 00000359	State: 04	Flags: 0x04130080	Pos: 3.015e+00	Vel: 2.619e+02	Iq: 3.444e+00	DcV: 1.625e+01	DcI: 9.024e-01	DcP:-1.390e+01	ExV: 2.528e+01	ExI: 2.971e-01	ExP: 7.472e+00	WoV: 1.176e+01	WoI: 3.195e-01	WoP: 3.756e+00	Tm:-1.965e+02	Tr: 2.294e+02
2025/11/19 00:06:11.909 Cnt: 00000369	State: 04	Flags: 0x04130080	Pos: 5.156e+00	Vel: 1.666e+02	Iq: 2.250e+00	DcV: 1.646e+01	DcI: 4.518e-01	DcP:-4.842e+00	ExV: 2.526e+01	ExI: 3.114e-01	ExP: 7.845e+00	WoV: 1.176e+01	WoI: 3.232e-01	WoP: 3.800e+00	Tm: 4.572e+01	Tr: 7.534e+01
2025/11/19 00:06:21.955 Cnt: 00000379	State: 04	Flags: 0x04030080	Pos: 3.727e+00	Vel: 3.167e+01	Iq: 3.086e+01	DcV: 1.651e+01	DcI: 6.725e-03	DcP: 1.110e-01	ExV: 2.526e+01	ExI: 3.090e-01	ExP: 7.785e+00	WoV: 1.176e+01	WoI: 3.221e-01	WoP: 3.786e+00	Tm:-8.139e+01	Tr: 8.302e+01
2025/11/19 00:06:32.025 Cnt: 00000389	State: 04	Flags: 0x04030080	Pos: 4.678e+00	Vel: 1.137e+02	Iq: 3.231e+01	DcV: 1.654e+01	DcI: 9.241e-03	DcP: 1.303e-01	ExV: 2.525e+01	ExI: 3.108e-01	ExP: 7.837e+00	WoV: 1.176e+01	WoI: 3.169e-01	WoP: 3.726e+00	Tm: 3.686e+01	Tr: 5.241e+01
